IP,timestamp,HTTP_method,request_path,status_code,content_length
192.168.1.1,2024-03-01 10:00:00,GET,/home,200,1024
192.168.1.2,2024-03-01 10:00:01,POST,/login,401,512
172.143.3.2,2024-03-01 22:00:31,POST,/logout,401,1024
192.168.1.2,2024-03-01 22:04:42,GET,/api/user,403,128
172.24.1.1,2024-03-01 18:36:14,OPTIONS,/dashboard,403,128
192.168.1.1,2024-03-01 01:31:10,HEAD,/dashboard,401,128
192.168.1.1,2024-03-01 02:52:23,OPTIONS,/admin,301,1024
192.168.1.1,2024-03-01 00:38:09,OPTIONS,/dashboard,301,512
172.24.1.1,2024-03-01 06:12:50,HEAD,/logout,301,1024
192.168.1.5,2024-03-01 05:19:49,GET,/login,403,128
192.168.1.2,2024-03-01 00:06:44,DELETE,/login,403,1024
172.24.1.1,2024-03-01 02:08:46,POST,/logout,301,256
192.168.1.5,2024-03-01 21:48:18,GET,/admin,403,4096
172.24.1.1,2024-03-01 03:34:04,POST,/admin,201,2048
192.168.1.2,2024-03-01 09:11:41,GET,/login,403,4096
192.168.1.4,2024-03-01 04:10:49,PATCH,/profile,200,2048
172.24.1.1,2024-03-01 05:19:49,PUT,/home,301,256
192.168.1.5,2024-03-01 12:02:32,POST,/login,401,2048
192.168.1.1,2024-03-01 23:17:55,HEAD,/admin,500,1024
192.168.1.2,2024-03-01 11:13:43,POST,/api/user,200,1024
172.24.1.1,2024-03-01 23:25:56,HEAD,/logout,401,4096
192.168.1.5,2024-03-01 22:40:18,PUT,/profile,200,4096
192.168.1.4,2024-03-01 18:20:50,POST,/api/data,500,2048
192.168.1.5,2024-03-01 00:42:21,POST,/api/data,500,256
172.143.3.2,2024-03-01 04:47:25,DELETE,/admin,403,512
192.168.1.4,2024-03-01 21:16:54,POST,/logout,301,512
192.168.1.1,2024-03-01 20:51:29,HEAD,/dashboard,301,4096
172.143.3.2,2024-03-01 01:16:46,PATCH,/login,200,128
192.168.1.3,2024-03-01 12:26:57,POST,/login,401,512
172.143.3.2,2024-03-01 00:30:09,POST,/profile,301,2048
172.24.1.1,2024-03-01 14:20:59,GET,/admin,500,1024
172.24.1.1,2024-03-01 19:13:51,PATCH,/api/user,404,512
192.168.1.4,2024-03-01 17:23:01,OPTIONS,/logout,403,256
192.168.1.1,2024-03-01 07:02:40,PUT,/home,401,4096
192.168.1.1,2024-03-01 00:42:21,OPTIONS,/login,500,4096
192.168.1.5,2024-03-01 03:57:35,OPTIONS,/profile,401,128
192.168.1.3,2024-03-01 14:20:58,PUT,/profile,401,256
192.168.1.4,2024-03-01 14:32:11,DELETE,/api/user,403,256
172.24.1.1,2024-03-01 10:04:42,OPTIONS,/profile,200,512
192.168.1.1,2024-03-01 07:57:28,OPTIONS,/profile,404,128
192.168.1.2,2024-03-01 09:51:30,PUT,/profile,403,4096
192.168.1.3,2024-03-01 12:50:20,DELETE,/login,500,128
192.168.1.1,2024-03-01 20:22:52,PUT,/api/data,201,128
172.143.3.2,2024-03-01 16:30:00,HEAD,/login,301,128
192.168.1.3,2024-03-01 17:20:50,DELETE,/logout,201,256
192.168.1.2,2024-03-01 08:14:53,HEAD,/settings,200,512
172.143.3.2,2024-03-01 05:26:04,PATCH,/logout,404,256
192.168.1.2,2024-03-01 18:33:03,OPTIONS,/profile,200,2048
192.168.1.1,2024-03-01 23:49:19,HEAD,/settings,404,2048
192.168.1.2,2024-03-01 22:37:07,PUT,/settings,401,512
172.143.3.2,2024-03-01 04:19:49,DELETE,/api/data,301,4096
192.168.1.1,2024-03-01 20:46:16,OPTIONS,/profile,500,2048
192.168.1.2,2024-03-01 07:45:15,DELETE,/api/data,500,4096
172.143.3.2,2024-03-01 08:10:40,DELETE,/api/data,301,512
192.168.1.5,2024-03-01 11:01:31,HEAD,/login,401,2048
192.168.1.5,2024-03-01 19:25:03,PUT,/login,301,1024
192.168.1.2,2024-03-01 21:23:54,PATCH,/login,301,128
192.168.1.3,2024-03-01 05:19:49,GET,/login,403,256
172.24.1.1,2024-03-01 23:41:20,DELETE,/admin,201,512
192.168.1.2,2024-03-01 10:13:43,HEAD,/home,404,2048
192.168.1.3,2024-03-01 23:05:43,OPTIONS,/home,201,128
172.143.3.2,2024-03-01 16:35:13,POST,/admin,401,256
192.168.1.2,2024-03-01 07:13:51,PATCH,/api/user,301,2048
192.168.1.2,2024-03-01 21:35:06,PUT,/api/user,200,4096
192.168.1.1,2024-03-01 05:31:02,DELETE,/logout,201,4096
192.168.1.2,2024-03-01 19:09:39,PATCH,/api/data,200,2048
192.168.1.3,2024-03-01 17:24:54,POST,/dashboard,200,512
192.168.1.2,2024-03-01 07:50:28,DELETE,/admin,200,256
192.168.1.2,2024-03-01 09:15:53,PUT,/api/data,200,512
172.24.1.1,2024-03-01 20:51:29,HEAD,/dashboard,401,2048
192.168.1.3,2024-03-01 12:26:56,HEAD,/home,200,4096
192.168.1.5,2024-03-01 05:55:25,PUT,/admin,200,2048
172.24.1.1,2024-03-01 14:21:59,PATCH,/api/user,200,512
192.168.1.3,2024-03-01 03:29:59,GET,/admin,403,2048
192.168.1.2,2024-03-01 21:23:54,DELETE,/login,301,128
192.168.1.2,2024-03-01 20:26:04,HEAD,/home,401,256
192.168.1.5,2024-03-01 02:56:27,PUT,/profile,201,128
192.168.1.4,2024-03-01 12:50:20,POST,/admin,200,1024
192.168.1.3,2024-03-01 18:12:50,PATCH,/profile,201,256
172.143.3.2,2024-03-01 17:47:25,PATCH,/settings,403,512
192.168.1.4,2024-03-01 12:55:33,PUT,/home,301,512
192.168.1.5,2024-03-01 18:44:15,GET,/profile,301,2048
